"CAND_ID","CAND_NAME","CAND_ICI","PTY_CD","CAND_PTY_AFFILIATION","TTL_RECEIPTS","TRANS_FROM_AUTH","TTL_DISB","TRANS_TO_AUTH","COH_BOP","COH_COP","CAND_CONTRIB","CAND_LOANS","OTHER_LOANS","CAND_LOAN_REPAY","OTHER_LOAN_REPAY","DEBTS_OWED_BY","TTL_INDIV_CONTRIB","CAND_OFFICE_ST","CAND_OFFICE_DISTRICT","SPEC_ELECTION","PRIM_ELECTION","RUN_ELECTION","GEN_ELECTION","GEN_ELECTION_PRECENT","OTHER_POL_CMTE_CONTRIB","POL_PTY_CONTRIB","CVG_END_DT","INDIV_REFUNDS","CMTE_REFUNDS","l_DISB"
"H6AR02203","SNYDER, VICTOR FREDERICK","I",1,"DEM",659817.7,0,643535.85,0,16461.48,32493.33,0,500,0,500,0,0,427968.45,"AR",2,"","W","","W",60,221750,9264.29,"12/31/2006",0,0,13.3747330154222
"H6AR02229","MAYBERRY, ANDY JOSEPH","C",2,"REP",99037.27,0,98848.94,0,0,188.11,0,15100,0,0,0,15100,80987.34,"AR",2,"","W","","L",39,1600,0,"12/31/2006",0,0,11.5013481052231
"H6AR03086","ANDERSON, WOODROW WILSON III","C",1,"DEM",362691.72,0,361158.24,0,0,1533.48,20785,208000,12000,129104.02,12000,78895.98,86401.16,"AR",3,"","W","","L",37,8500,20675,"12/31/2006",2025,0,12.7970714792231
"H2AR03176","BOOZMAN, JOHN NICHOLS","I",2,"REP",575634.02,0,651616.09,0,199796.96,123895.89,0,0,0,0,0,0,259897.11,"AR",3,"","W","","W",62,306211.09,5275,"12/31/2006",0,0,13.3872108484684
"H0AR04038","ROSS, MICHAEL A","I",1,"DEM",1334114.21,0,1254483.3,0,481763.63,561394.54,0,0,0,0,0,0,520536.87,"AR",4,"","W","","W",74,769403.73,19960,"12/31/2006",0,1000,14.0422343326235
"H6AZ00035","SIMON, ELLEN","C",1,"DEM",1514962.56,0,1514640.69,0,0,321.76,5369.83,705000,0,0,35000,254500,660039.63,"AZ",1,"","W","","L",43,125700,18800,"12/31/2006",2150,0,14.2306888004799
"H2AZ01172","RENZI, RICHARD G.","I",2,"REP",2110748.28,48475.93,2246796.51,0,149877.97,13829.74,0,0,0,0,0,490322.13,923756.91,"AZ",1,"","W","","W",51,1099832.37,13099,"12/31/2006",6900,5818.12,14.6250159863189
"H6AZ01165","SCHLOSSER, DAVID B","C",3,"LIB",29550.03,0,30630.08,0,0,0,0,10500,0,2236.18,0,0,19050.03,"AZ",1,"","L","","L",4,0,0,"11/27/2006",1100,0,10.3297378116419
"H6AZ02155","THRASHER, JOHN A MR.","C",1,"DEM",37621.68,0,37234.2,0,0,387.43,8906.13,0,0,0,0,0,28715.55,"AZ",2,"","W","","L",39,0,0,"12/31/2006",0,0,10.5249829727521
"H4AZ04024","FRANKS, TRENT","I",2,"REP",440593.31,0,474711.21,1500,72992.34,36321.3,0,0,0,0,0,304100,255045.54,"AZ",2,"","W","","W",58,184083.9,0,"12/31/2006",800,0,13.0704619191753
"H6AZ03146","PAINE, HERBERT JAMES","C",1,"DEM",102524.1,0,96979.1,0,0,5544.77,3520,0,0,0,0,0,96504.1,"AZ",3,"","W","","L",38,2500,0,"12/31/2006",0,0,11.4822507703523
"H4AZ04016","SHADEGG, JOHN B.","I",2,"REP",1078946.42,0,1167478.28,0,113424.73,24892.87,0,0,0,0,0,0,588456.29,"AZ",3,"","W","","W",58,486217.5,0,"12/31/2006",3388,0,13.9703566644977
"H2AZ02055","PASTOR, EDWARD L","I",1,"DEM",1093003.23,0,763935.99,60000,782239.65,1111306.89,0,0,0,0,0,0,530801.21,"AZ",4,"","W","","W",72,519199.81,55.44,"12/31/2006",1000,500,13.5462392819162
"H6AZ05067","MITCHELL, HARRY E","C",1,"DEM",1954182.65,0,1933187.11,93000,0,20995.54,0,0,0,0,0,0,1481253.69,"AZ",5,"","W","","W",50,446067.83,26789.94,"12/31/2006",8923,748.33,14.4746805512296
"H6CA08140","DENUNZIO, MICHAEL ANTHONY","C",2,"REP",149842,0,149250.75,0,0,590.3,0,67500,0,0,0,67500,79742,"CA",8,"","W","","L",10,2600,1621,"12/31/2006",0,0,11.9133830563679
"H6CA08165","KEEFER, KRISSY","C",3,"GRE",31325.95,0,32091.98,0,-664.4,-8351.29,0,8884.73,0,0,0,2884.73,21941.22,"CA",8,"","W","","L",7,0,500,"12/31/2006",0,0,10.3763614336651
"H8CA09060","LEE, BARBARA","I",1,"DEM",965877.84,0,1054313.37,0,111839.7,23404.17,0,0,0,0,0,1301.6,743067.46,"CA",9,"","W","","W",85,213427.59,0,"12/31/2006",12160,1000,13.8684002788846
"H6CA09080","DULK, JOHN DEN","C",2,"REP",39030,0,38771.55,0,0,257.5,0,22590,0,0,0,29795.37,15040,"CA",9,"","W","","L",11,0,500,"12/31/2006",25,0,10.5654420092313
"H6CA10088","TAUSCHER, ELLEN O","I",1,"DEM",930134.57,0,830583.69,0,150230.09,211924.37,0,0,0,0,0,0,352031.7,"CA",10,"","W","","W",66,572372.48,0,"12/31/2006",1125,4000,13.6298839735786
"H6CA10138","LINN, DARCY","C",2,"REP",4004,0,7366,0,0,0,0,650,0,650,0,0,5090,"CA",10,"","W","","L",33,0,1621,"01/31/2007",150,0,8.90463009700501
"H4CA11081","MCNERNEY, JERRY","C",1,"DEM",2462888.11,0,2423003.47,0,2185.22,42069.86,1043.51,1000,9100,0,9100,85630.94,2056361.37,"CA",11,"","W","","W",53,386942.19,3950,"12/31/2006",12652.76,0,14.7005184319066
"H2CA11051","POMBO, RICHARD","I",2,"REP",4547783.99,0,4629989.63,0,101607.66,19406.03,0,0,0,0,0,91639.3,2496316.04,"CA",11,"","W","","L",46,1801013.18,200.01,"12/31/2006",60318.5,2500,15.3480651863191
"H0CA11022","LANTOS, TOM","I",1,"DEM",1029425.61,0,695537.84,0,1033763.63,1367651.4,0,0,0,0,0,0,802636.98,"CA",12,"","W","","W",75,175345,6.11,"12/31/2006",0,0,13.4524406957671
"H6CA09023","STARK, PETE","I",1,"DEM",430325.86,0,645577.57,0,380395.33,165143.62,0,0,0,0,0,0,40118.33,"CA",13,"","W","","W",74,311689.2,0,"12/31/2006",0,0,13.3779006524595
"H4CA13079","BRUNO, GEORGE I","C",2,"REP",25189.79,0,24063.49,0,0,1125.61,135,0,0,0,0,200.7,22231.5,"CA",13,"","W","","L",25,0,500,"12/31/2006",0,0,10.0884510330409
"H8CA12098","ESHOO, ANNA","I",1,"DEM",1036469.61,0,1069190.57,0,374386.05,341665.09,0,0,0,0,0,59555.8,474762.25,"CA",14,"","W","","W",70,554164.93,5.08,"12/31/2006",7850,1000,13.8824124435297
"H6CA14098","BROUILLET, CAROL LIANE","C",3,"GRE",6808,0,6809,0,0,0,76,7469,0,1790,0,3678,1163,"CA",14,"","W","","L",2,0,100,"12/31/2006",0,0,8.82600054548297
"H0CA15148","HONDA, MIKE","I",1,"DEM",761707.58,0,763245.86,0,117064.36,115526.08,0,0,0,0,0,0,402554.77,"CA",15,"","W","","W",72,353685,825.6,"12/31/2006",300,200,13.5453354864095
"H4CA15058","CHUKWU, RAYMOND LEMMY","C",2,"REP",46275,0,46274.94,0,0.9,0.96,0,0,0,0,0,2044,45375,"CA",15,"","W","","L",27,0,0,"12/31/2006",0,0,10.7423558408444
"H4CA16049","LOFGREN, ZOE","I",1,"DEM",624139.71,0,622374.33,0,145856.7,147670.08,0,0,0,0,0,41.77,293475.5,"CA",16,"","W","","W",72,322128.79,0,"12/31/2006",80,400,13.3412970074225
"H4CA17021","FARR, SAM","I",1,"DEM",773191.98,0,678908.43,0,18227.74,112511.29,0,0,0,0,0,194.02,357653.9,"CA",17,"","W","","W",76,402641.85,15.53,"12/31/2006",160,0,13.428241537358
"H2CA18056","CARDOZA, DENNIS","I",1,"DEM",1076227.05,0,952162.28,0,82688.66,206753.43,0,0,0,0,0,1920.94,530114.93,"CA",18,"","W","","W",65,526602.8,0,"12/31/2006",17465,30,13.7664907614313
"H6CA18107","KANNO, JOHN","C",2,"REP",155439.01,0,138769.54,0,0,16669.47,300,35000,0,0,0,40074.39,120139.01,"CA",18,"","W","","L",34,0,0,"10/18/2006",0,0,11.8405698505221
"H6CA19113","COX, T J","C",1,"DEM",886178.07,0,886089.01,0,0,89.06,0,623398.76,0,198000,0,67831.22,239965.31,"CA",19,"","W","","L",39,18750,3500,"12/31/2006",489.92,0,13.6945726872951
"H2CA19054","RADANOVICH, GEORGE","I",2,"REP",1147990.4,0,1197709.12,0,161073.59,110981.43,0,0,0,0,0,44104.98,689165.43,"CA",19,"","W","","W",60,448669.01,0,"12/31/2006",22350,4100,13.9959212235012
"H6CA21176","HAZE, ERNEST STEVEN","C",1,"DEM",154182.29,0,154341.22,0,0,-158.93,12080.52,124750,0,1650,0,123100,15327.07,"CA",21,"","W","","L",30,0,0,"12/31/2006",0,0,11.9469211446065
"H8CA20059","NUNES, DEVIN GERALD","I",2,"REP",1156518.94,0,991879.87,250000,158565.23,323204.3,0,0,0,0,9390,0,630038.49,"CA",21,"","W","","W",66,511600,0,"12/31/2006",0,0,13.8073572801436
"H6CA22133","BEERY, SHARON MAE","O",1,"DEM",27206,0,27673,0,0,0,1614,0,0,0,0,0,20993,"CA",22,"","W","","L",29,1000,3599,"11/27/2006",0,0,10.2282124875761
"H6CA22125","MCCARTHY, KEVIN MR","O",2,"REP",1152445.08,0,682341.91,0,0,470103.17,0,0,0,0,0,11717.53,660766.26,"CA",22,"","W","","W",70,491043.1,0,"12/31/2006",0,0,13.4332861455104
"H8CA22089","CAPPS, LOIS G","I",1,"DEM",874678.75,0,922780.48,0,307350.66,259248.93,0,0,0,0,0,0,409952.6,"CA",23,"","W","","W",64,409808.75,0,"12/31/2006",100,0,13.7351466520454
"H6CA00139","TOGNAZZINI, VICTOR  D.","C",2,"REP",74092.55,0,79531.39,0,0,89.17,29995,0,0,0,0,0,44010,"CA",23,"L","W","","L",35,0,0,"12/31/2006",0,0,11.2839070654798
"H6CA24253","MARTINEZ, JILL MARIE","C",1,"DEM",134374.66,0,131907.33,0,0,2466.94,1140,25000,0,0,0,99498.77,92055.78,"CA",24,"","W","","L",38,16059,0,"12/31/2006",200,0,11.7898549095647
"H6CA21028","GALLEGLY, ELTON","I",2,"REP",645824.26,0,944857.56,0,1071639.14,772605.84,0,0,0,0,0,0,443735.04,"CA",24,"","W","","W",61,134298.46,0,"12/31/2006",500,0,13.7587894649562
"H6CA25136","RODRIGUEZ, ROBERTO J","C",1,"DEM",237846.7,0,230519.08,0,0,7327.24,0,30000,0,30000,0,0,199846.7,"CA",25,"","W","","L",35,8000,0,"11/27/2006",0,0,12.3480889145657
"H2CA25036","MCKEON, HOWARD P BUCK","I",2,"REP",1254505.2,0,1371670.86,0,339164.84,221999.18,0,0,0,0,0,0,636480.33,"CA",25,"","W","","W",60,580600,98,"12/31/2006",1500,5500,14.1315401605287
"H4CA26097","MATTHEWS, CYNTHIA","C",1,"DEM",54485.17,0,17183.79,0,29768.89,67070.27,0,36000,0,0,0,15837.12,15257.39,"CA",26,"","W","","L",38,1987.15,0,"12/31/2006",0,0,9.75172177656353
"H8CA35032","DREIER, DAVID","I",2,"REP",2357851.67,0,2540696.64,0,2410332.21,2227487.24,0,0,0,0,0,0,1054922.73,"CA",26,"","W","","W",56,1047936.28,0,"12/31/2006",13400,900,14.7479488691067
"H6CA24113","SHERMAN, BRAD MR","I",1,"DEM",1610839.1,0,851909.58,0,629915.84,1388845.36,1200,347000,4000,352600,4000,2581.86,750948.61,"CA",27,"","W","","W",68,467210,0,"12/31/2006",750,2000,13.655235673419
"H6CA27272","HANKWITZ, PETER CHRISTOPHER","C",2,"REP",47479,0,42315.34,200,0,5163.66,125,0,5000,0,0,5000,42354,"CA",27,"","W","","L",31,0,0,"10/18/2006",0,0,10.6529049470477
"H2CA26026","BERMAN, HOWARD L","I",1,"DEM",914920,0,954009.67,0,446238.95,407149.37,0,0,0,0,0,8109.32,606164.98,"CA",28,"","W","","W",74,274385,0,"12/31/2006",6500,0,13.7684290866474
"H6CA28130","DELEAR, BYRON WALKER","C",3,"GRE",73324.31,0,68715.72,0,0,4608.59,0,49300,0,0,0,49300,24024.31,"CA",28,"","W","","L",3,0,0,"12/31/2006",0,0,11.1377332729956
"H0CA27085","SCHIFF, ADAM","I",1,"DEM",1200911.15,0,900382.65,0,1076077.21,1376605.71,0,0,0,0,0,0,665345.54,"CA",29,"","W","","W",63,487845,0,"12/31/2006",3850,2500,13.7105751186154
"H6CA29179","PAPARIAN, WILLIAM M","C",3,"GRE",51358,0,45741,0,0,908,0,0,0,0,0,6152,45313,"CA",29,"","W","","L",5,200,275,"12/31/2006",0,0,10.73075033004
"H6CA24048","WAXMAN, HENRY A.","I",1,"DEM",648180.62,0,553054.46,0,557470.72,652596.88,0,0,0,0,0,554.48,153954.8,"CA",30,"","W","","W",71,473500,11.24,"12/31/2006",0,3000,13.2232117566682
"H6CA30151","JONES, DAVID NELSON","C",2,"REP",23558,0,21825,0,0,1732,3773,0,0,0,0,5985,17801,"CA",30,"","W","","L",26,0,1921,"12/31/2006",0,0,9.9908113807078
"H0CA31087","SOLIS, HILDA","I",1,"DEM",809646.93,0,882870.62,0,216790.39,143566.7,0,0,0,0,0,1252.24,310972.36,"CA",32,"","W","","W",82,488329.36,0,"12/31/2006",0,500,13.6909339456342
"H2CA33048","ROYBAL-ALLARD, LUCILLE","I",1,"DEM",592766.64,0,658697.62,0,119138.41,53207.43,0,0,0,0,0,0,298539.09,"CA",34,"","W","","W",76,286225.63,5013.76,"12/31/2006",500,800,13.3980198614448
"H4CA23011","WATERS, MAXINE MS","I",1,"DEM",795432.12,0,759625.25,0,65961.84,101768.71,0,30000,4000,2000,4000,206607.57,260217,"CA",35,"","W","","W",83,163893.33,0,"12/31/2006",0,0,13.5405804985474
"H2CA27107","HARMAN, JANE","I",1,"DEM",919517.3,3850,1173318.4,0,479249.17,225448.07,0,0,0,0,0,0,612269.08,"CA",36,"","W","","W",63,301511.21,0,"12/31/2006",0,0,13.9753465315525
"H6CA36125","GIBSON, BRIAN","C",2,"REP",24608,0,22730,0,0,27,16899,0,0,0,0,27,6959,"CA",36,"","W","","L",32,2647,750,"12/31/2006",0,0,10.0314409168466
"H6CA36141","SMITH, JAMES R","C",3,"PAF",7469,0,8436,0,1000,276,0,4900,0,0,0,0,2569,"CA",36,"","W","","L",2,0,0,"12/07/2006",0,0,9.04026354159867
"H6CA37222","MILLENDER-MCDONALD, JUANITA","I",1,"DEM",315376.99,0,355788.54,0,55568.89,15157.34,5251.85,0,0,0,0,12350.77,66150.33,"CA",37,"","W","","W",82,239746.19,6.21,"12/31/2006",300,0,12.7820918445889
"H8CA34068","NAPOLITANO, GRACE","I",1,"DEM",329198.33,0,317827.19,0,182784.24,194155.38,0,0,0,20000,0,168341.9,96256.95,"CA",38,"","W","","W",75,226350,0,"12/31/2006",133.33,0,12.669263086379
"H6CA38105","STREET, SIDNEY W","C",2,"REP",8703,0,8704,0,0,0,3283,0,0,502,0,0,2999,"CA",38,"","W","","L",24,800,1621,"12/30/2006",0,0,9.07153796909572
"H2CA39078","SANCHEZ, LINDA","I",1,"DEM",645973.26,10860,639359.52,2000,5672.17,12285.91,0,0,0,0,0,0,269765.67,"CA",39,"","W","","W",65,353526.05,0,"12/31/2006",339.15,0,13.3682222042512
"H6CA39129","ANDION, JAMES LEE","C",2,"REP",25036,0,24045,0,0,0,15875,15136,0,7932,0,0,9600,"CA",39,"","W","","L",34,0,0,"12/31/2006",0,0,10.0876823537118
"H6CA40267","HOFFMAN, FLORICE OREA","C",1,"DEM",143707.59,0,140410.33,0,0,3298.38,1740,20000,0,0,0,21251.7,65132.25,"CA",40,"","W","","L",30,56500,0,"12/31/2006",25,0,11.8523243433659
"H6CA39020","ROYCE, ED MR","I",2,"REP",1520396.6,0,1317280.01,0,1523707.04,1726822.74,0,0,0,0,0,0,881512.88,"CA",40,"","W","","W",66,514786.34,0,"12/31/2006",201.16,0,14.0910795701237
"H8CA37079","LEWIS, JERRY","I",2,"REP",1661105.23,0,1806538.39,0,1228761.44,1083328.28,0,0,0,0,0,0,428167.21,"CA",41,"","W","","W",66,893200,0,"12/31/2006",800,1000,14.406923080382
"H6CA42099","BACA, JOE","I",1,"DEM",686653.93,0,744230.41,0,64620.55,7044.07,0,0,0,0,0,50897.82,310934.2,"CA",43,"","W","","W",65,359730,315.91,"12/31/2006",12214,2755,13.5201059567311
"H6CA43121","FOLKENS, SCOTT LLOYD","C",2,"REP",17104,0,16597,0,0,504,1054,0,0,0,0,0,13559,"CA",43,"","W","","L",34,500,1621,"12/31/2006",0,0,9.71697723512072
"H2CA37023","CALVERT, KENNETH S MR.","I",2,"REP",918987.08,0,854536.18,0,88840.05,153390.95,0,0,0,0,0,2370.5,562588,"CA",44,"","W","","W",95,352580.83,2000,"12/31/2006",7150,0,13.6583141211915
"H6CA45084","ROTH, DAVID MALCOLM","C",1,"DEM",724889.58,0,722771.11,0,0,2118.47,4200,0,0,0,0,1659.88,541161.19,"CA",45,"","W","","L",40,175800.99,0,"12/31/2006",1000,0,13.4908478673386
"H8CA44034","BONO MACK, MARY","I",2,"REP",1486141.67,0,1544835.92,0,188072.42,129378.17,0,0,0,0,0,0,977553.54,"CA",45,"","W","","W",59,505097.97,0,"12/31/2006",15445.92,1300,14.250428262027
"H4CA46061","BRANDT, JIM","C",1,"DEM",77766.44,0,80083.55,0,2965.57,648.4,0,700,0,0,0,42304.2,71862.64,"CA",46,"","W","","L",36,5000,0,"12/31/2006",0,0,11.2908257436759
"H8CA42061","ROHRABACHER, DANA","I",2,"REP",294371.16,0,354655.43,0,312730.9,252446.63,0,0,0,0,0,0,220205,"CA",46,"","W","","W",59,74045.47,0,"12/31/2006",8250,2000,12.7789019773829
"H6CA46033","SANCHEZ, LORETTA","I",1,"DEM",1366461.01,10460,1829975.79,2000,928624.4,479077.84,0,0,-13968.13,0,0,0,684870.34,"CA",47,"","W","","W",61,577351.76,0,"12/31/2006",200,0,14.4198132952219
"H4CA46087","NGUYEN, TAN D","C",2,"REP",588483.7,0,588609.11,0,1023,898.31,20578.78,472000,0,0,0,529605.53,95266.65,"CA",47,"","W","","L",38,500,0,"12/31/2006",0,0,13.2855175920657
"H6CA48070","YOUNG, STEVEN RAY","O",1,"DEM",435087.02,0,434800.38,0,0,286.64,300,183778.81,0,0,0,224057.34,195731.42,"CA",48,"L","W","","L",37,49825,2150,"12/31/2006",50,0,12.9826423081939
"H6CA48039","CAMPBELL, JOHN B. T. III","O",2,"REP",2290964.03,0,2254034.37,0,0,36929.66,16215.19,250000,0,150000,0,1e+05,1294407.09,"CA",48,"W","W","","W",59,725154.08,784,"12/31/2006",8050,4500,14.6282322219128
"H6CA49086","CRISCENZO, JEENI","C",1,"DEM",90053.85,0,88838.42,0,0,1215.43,0,0,0,0,0,0,79235.67,"CA",49,"","W","","L",33,9550,0,"12/31/2006",100,0,11.3945744930686
"H0CA48024","ISSA, DARRELL EDWARD","I",2,"REP",908840.49,0,1102605.35,165000,232046.57,38281.71,0,0,0,320000,0,1500000,408135.54,"CA",49,"","W","","W",63,490149.44,0,"12/31/2006",600.47,250,13.9131864372936
"H4CA50055","BUSBY, FRANCINE P","O",1,"DEM",3636722.95,0,3603703.74,0,23518.16,56537.37,250,0,0,9227.12,0,0,2980783.54,"CA",50,"L","W","","L",35,609759.49,13544.5,"12/31/2006",19009.2,0,15.0974726912238
"H4CA49032","BILBRAY, BRIAN P","I",2,"REP",2559740.09,71507.28,2620352.99,0,198128.52,137515.62,0,0,0,0,0,77314.8,1195660.58,"CA",50,"W","W","","W",43,1137173.85,88864.7,"12/31/2006",4200,3000,14.7788195956698
"H6CA50084","UKE, ALAN KURT","O",2,"REP",1332464.3,0,1326900.09,0,0,5564.21,974685.01,175000,0,0,0,213648.96,177759,"CA",50,"L","L","","L",18,0,0,"12/31/2006",25400,0,14.0983560203518
"H2CA50034","FILNER, BOB","I",1,"DEM",1805973.8,0,2001755.75,0,202151.84,6369.89,0,0,0,0,0,48083.37,1127165.95,"CA",51,"","W","","W",66,652142.73,0,"12/31/2006",1050,2000,14.5095352284173
"H6CA51041","MILES, BLAKE LINDEN","C",2,"REP",69303,0,66659.71,0,0,2166.29,0,62520,0,46972.98,0,500,6363,"CA",51,"","W","","L",30,0,300,"12/31/2006",0,0,11.1073560014172
"H6CA52072","RINALDI, JOHN","C",1,"DEM",80482.92,0,80426.15,0,0,106.77,478.6,2000,0,0,0,0,74002.07,"CA",52,"","W","","L",31,3885.5,0,"12/31/2006",0,0,11.2950946510414
"H2CA42023","HUNTER, DUNCAN","I",2,"REP",1063232.68,0,1042932.65,110000,33079.34,53379.37,0,0,0,0,0,0,570603,"CA",52,"","W","","W",65,488650,735,"12/31/2006",150,1000,13.8575471585518
"H0CA49055","DAVIS, SUSAN A","I",1,"DEM",343920.06,0,430952.12,1000,522789.24,435757.18,0,0,0,0,0,0,184128.78,"CA",53,"","W","","W",66,149375,0,"12/31/2006",1650,0,12.9737522724276
"H6CA53021","WOODRUM, JOHN ALLEN","C",2,"REP",92828.21,0,90142.13,0,0,2686.08,51568.1,9000,0,0,0,9000,30731.51,"CA",53,"","W","","L",30,1250,0,"12/31/2006",0,0,11.4091429258745
"H6CO01141","DEGETTE, DIANA L","I",1,"DEM",635212.86,0,642409.68,0,230584.22,223387.4,0,0,0,0,0,0,279390.23,"CO",1,"","W","","W",79,343556.43,0,"12/31/2006",600,0,13.3729815099943
"H8CO02087","UDALL, MARK","I",1,"DEM",1512871.13,0,932192.72,0,703974.69,1262370.23,0,0,0,0,0,0,1001738.68,"CO",2,"","W","","W",66,484491.61,971.23,"12/31/2006",800,0,13.7452948534073
"H6CO02123","MANCUSO, RICHARD ANTHONY","C",2,"REP",15150,0,14748,0,0,99,0,250,0,250,0,0,14900,"CO",2,"","W","","L",30,0,0,"11/27/2006",0,0,9.59886275935403
"H4CO03167","SALAZAR, JOHN T","I",1,"DEM",2028070.12,625.65,2033674.64,0,36463.79,30859.27,0,0,0,0,0,0,971274.32,"CO",3,"","W","","W",61,1037272.09,1354.25,"12/31/2006",6675,5500,14.5253548821269
"H6CO03139","TIPTON, SCOTT RANDALL","C",2,"REP",821306.04,0,819320.54,0,0,1985.5,37169.76,122000,0,0,0,122000,536472.56,"CO",3,"","W","","L",36,117350,7870,"12/31/2006",0,0,13.6162306659975
"H6CO03147","SARGENT, BERT L","C",3,"LIB",1829.41,0,1754.41,0,0,0,0,0,0,0,0,0,1829.41,"CO",3,"","","","L",1,0,0,"12/31/2006",0,0,7.46988789704183
"H6CO04145","PACCIONE, ANGELA VERONICA","C",1,"DEM",1977181.22,0,1951183.51,0,0,25997.71,0,0,0,0,0,0,1547840.36,"CO",4,"","W","","L",42,422212.06,1738.86,"12/31/2006",5325,200,14.4839466746386
"H2CO04045","MUSGRAVE, MARILYN N","I",2,"REP",3160564.74,43889.58,3212148.45,0,120513.7,71009.99,0,0,0,0,0,20000,2098593.92,"CO",4,"","W","","W",45,1004124.94,10893,"12/31/2006",7530,2000,14.9824505702909
"H6CO04152","EIDSNESS, FREDERIC ARNOLD","C",3,"REF",26983,28090,31808,0,0,1474,9940,0,0,0,0,0,17043,"CO",4,"","","","L",11,9940,0,"10/18/2006",0,0,10.3674731094563
"H6CO05126","FAWCETT, JAY","O",1,"DEM",681374.32,0,669124.86,0,0,12249.46,0,53725,25000,5000,0,73725,478598.07,"CO",5,"","W","","L",40,121888.02,2159.39,"12/31/2006",0,0,13.4137259584672
"H6CO05159","LAMBORN, DOUGLAS L","O",2,"REP",1026183.72,0,997976.31,0,0,28207.41,0,1e+05,0,52500,0,109359.75,569529.57,"CO",5,"","W","","W",59,356654.15,0,"12/31/2006",0,0,13.8134848175369
"H6CO06033","WINTER, WILLIAM (BILL) GARDNER","C",1,"DEM",807013.7,0,806523.21,0,0,390.49,434.99,5372.16,0,5383,0,-10.84,650361.37,"CO",6,"","W","","L",39,140810,1523.5,"12/31/2006",2475,0,13.6004879548066
"H8CO06054","TANCREDO, THOMAS GERARD","I",2,"REP",1781979.56,0,1754239.74,30000,161352.3,189092.12,0,0,0,0,0,0,1694321.09,"CO",6,"","W","","W",58,61985.09,2908.85,"12/31/2006",1838,0,14.3775461244442
"H6CO07023","PERLMUTTER, EDWIN","O",1,"DEM",2996176.15,0,2945175.02,0,0,51001.13,6000,60000,0,12000,0,59607.7,2112654.2,"CO",7,"","W","","W",54,808633.6,1221.08,"12/31/2006",12650,0,14.8956788028436
"H2CO07055","ODONNELL, RICK","O",2,"REP",2818136.36,155917.26,2771918,0,716.5,46934.86,0,0,0,4250,0,0,1946222.7,"CO",7,"","W","","L",42,661882.79,25000,"12/31/2006",7950,500,14.8350500573248
